Grafiknr,Gebietsname,Gültige,Hofer,Hofer %,Van der Bellen,Van der Bellen %
3,Graz(Stadt) Gesamt,145.122,47.825,32.96,97.297,67.04
1,Graz Wahllokal,119.704,42.35,35.38,77.354,64.62
2,Wahlkarten - Graz(Stadt),25.418,5.475,21.54,19.943,78.46
3,Deutschlandsberg Gesamt,35.793,22.043,61.58,13.75,38.42
1,Wahllokal Deutschlandsberg ,30.091,19.195,63.79,10.896,36.21
2,Wahlkarten - Deutschlandsberg,5.702,2.848,49.95,2.854,50.05
3,Graz-Umgebung Gesamt,86.901,45.989,52.92,40.912,47.08
1,Wahllokal Graz-Umgebung ,74.304,40.638,54.69,33.666,45.31
2,Wahlkarten - Graz-Umgebung,12.597,5.351,42.48,7.246,57.52
3,Leibnitz Gesamt,45.929,29.662,64.58,16.267,35.42
1,Wahllokal Leibnitz,39.986,26.547,66.39,13.439,33.61
2,Wahlkarten - Leibnitz,5.943,3.115,52.41,2.828,47.59
3,Leoben,34.112,18.798,55.11,15.314,44.89
1,Wahllokal Leoben,29.404,16.963,57.69,12.441,42.31
2,Wahlkarten - Leoben,4.708,1.835,38.98,2.873,61.02
3,Liezen,42.266,22.457,53.13,19.809,46.87
1,Wahllokal Liezen,35.269,19.682,55.81,15.587,44.19
2,Wahlkarten - Liezen,6.997,2.775,39.66,4.222,60.34
3,Murau,15.979,9.551,59.77,6.428,40.23
1,Wahllokal Murau,13.414,8.331,62.11,5.083,37.89
2,Wahlkarten - Murau,2.565,1.22,47.56,1.345,52.44
3,Voitsberg,30.637,19.08,62.28,11.557,37.72
1,Wahllokal Voitsberg,26.993,17.317,64.15,9.676,35.85
2,Wahlkarten - Voitsberg,3.644,1.763,48.38,1.881,51.62
3,Weiz,51.81,29.253,56.46,22.557,43.54
1,Wahllokal Weiz,46.015,26.786,58.21,19.229,41.79
2,Wahlkarten - Weiz,5.795,2.467,42.57,3.328,57.43
3,Murtal,40.427,22.736,56.24,17.691,43.76
1,Wahllokal Murtal,34.458,20.219,58.68,14.239,41.32
2,Wahlkarten - Murtal,5.969,2.517,42.17,3.452,57.83
3,Bruck-Mürzzuschlag,55.804,29.07,52.09,26.734,47.91
1,Wahllokal Bruck-Mürzzuschlag,46.963,25.517,54.33,21.446,45.67
2,Wahlkarten - Bruck-Mürzzuschlag,8.841,3.553,40.19,5.288,59.81
3,Hartberg-Fürstenfeld,55.362,35.957,64.95,19.405,35.05
1,Wahllokal Hartberg-Fürstenfeld,49.701,33.157,66.71,16.54,33.28
2,Wahlkarten - Hartberg-Fürstenfeld,5.661,2.8,49.46,2.865,50.61
3,Südoststeiermark,49.596,31.357,63.22,18.239,36.78
1,Wahllokal Südoststeiermark,43.548,28.286,64.95,15.262,35.05
2,Wahlkarten - Südoststeiermark,6.048,3.071,50.78,2.977,49.22
